postcode,title,query_postcode,district,municipality,locality,lat,lng
4300-344,Rua Monte da Estação,4300-344,Porto,Campanhã,Campanhã,41.152329,-8.585363
2090-217,Frade de Cima,2090-217,Santarém,Alpiarça,Alpiarça,39.188908,-8.564133
2890-032,Largo Marquês de Soidos,2890-032,Setúbal,Alcochete,Alcochete,38.732328,-8.972020
2900-593,Rua Barão do Rio Zêzere,2900-593,Setúbal,Nossa Senhora da Anunciada,Nossa Senhora da Anunciada,38.521170,-8.900732
2450-114,Azinhaga do Escorrega,2450-114,Leiria,Nazaré,Nazaré,39.602505,-9.070350
4860-242,Baloutas,4860-242,Braga,Cabeceiras de Basto,Painzela,41.541248,-7.950537
2520-309,Rua da Berlenga,2520-309,Leiria,Peniche,Conceição,39.357406,-9.389996
2500-767,Peso,2500-767,Leiria,Caldas da Rainha,Santa Catarina,39.447363,-9.016740
4100-335,Rua Martim Moniz,4100-335,Porto,Aldoar,Aldoar,41.172406,-8.664482
4430-378,Praceta Dina Teresa,4430-378,Porto,Vila Nova de Gaia,Oliveira do Douro,41.132209,-8.581527
4495-068,Travessa do Rio,4495-068,Porto,Póvoa de Varzim,Aguçadoura,41.434813,-8.780017
7875-074,Rua Doutor Francisco Brito Simões Miranda,7875-074,Beja,Moura,Safara,38.108875,-7.217712
4300-297,Rua da Lomba,4300-297,Porto,Bonfim,Bonfim,41.148362,-8.590390
4705-081,Praça dos Arsenalistas,4705-081,Braga,São José de São Lázaro,São José de São Lázaro,41.544398,-8.421813
4805-603,Travessa das Veigas,4805-603,Braga,Guimarães,Santo Estevão (Briteiros),41.510185,-8.318133
2705-670,Rua dos Juncais,2705-670,Lisboa,Sintra,São João das Lampas,38.847749,-9.440853
2500-744,Mosteiros,2500-744,Leiria,Caldas da Rainha,Vidais,39.380931,-9.065842
4750-538,Rua Júlio Pereira de Sousa,4750-538,Braga,Barcelos,Lijó,41.570646,-8.606545
4405-861,Rua de Fontinha,4405-861,Porto,Vila Nova de Gaia,Vilar do Paraíso,41.090976,-8.621414
9100-074,Estrada de São João,9100-074,Madeira,Santa Cruz,Gaula,32.674972,-16.812400
2050-392,Rua dos Toureiros de Azambuja,2050-392,Lisboa,Azambuja,Azambuja,39.076981,-8.878409
7830-247,Rua Doutor António Pedro Alho Rogado,7830-247,Beja,Serpa,Pias,38.020728,-7.480766
3660-516,Travessa das Moitinhas,3660-516,Viseu,São Pedro do Sul,São Pedro do Sul,40.761178,-8.064725
